Index,Time,sensor0_raw_v,sensor0_filtered_v,sensor0_delta_v,sensor0_threshold_v,sensor0_hit_count
91896,91.896417,1.041978,0.779259086,-0.171709716,0.0547888651,0
91897,91.897416,0.409377277,0.778652549,-0.172316253,0.0547888651,0
91898,91.898419,0.870329678,0.778049588,-0.171028554,0.0547888651,0
91899,91.899417,0.510915756,0.777663708,-0.171414435,0.0547888651,0
91900,91.900419,0.510915756,0.777252793,-0.171825349,0.0547888651,0
91901,91.901432,0.410183132,0.77708286,-0.171995282,0.0547888651,0
91902,91.902414,0.888058603,0.77690953,-0.172168612,0.0547888651,0
91903,91.903417,1.08468866,0.776700556,-0.172377586,0.0547888651,0
91904,91.904416,0.408571422,0.776660681,-0.172417462,0.0547888651,0
91905,91.905418,0.412600726,0.776521742,-0.1725564,0.0547888651,0
91906,91.906420,1.28051281,0.776496589,-0.172581553,0.0547888651,0
91907,91.907414,0.839706957,0.776758313,-0.172319829,0.0547888651,0
91908,91.908413,0.839706957,0.776949346,-0.172128797,0.0547888651,0
91909,91.909414,0.455311358,0.777473211,-0.171604931,0.0547888651,0
91910,91.910419,0.654358983,0.778159976,-0.170918167,0.0547888651,0
91911,91.911437,1.43443227,0.779077828,-0.170000315,0.0547888651,0
91912,91.912429,0.900146484,0.780051708,-0.169026434,0.0547888651,0
91913,91.913419,0.559267402,0.781011283,-0.168066859,0.0547888651,0
91914,91.914413,0.615677655,0.782034695,-0.167043447,0.0547888651,0
91915,91.915419,0.615677655,0.782839477,-0.166238666,0.0547888651,0
91916,91.916416,0.684175789,0.783715427,-0.165362716,0.0547888651,0
91917,91.917414,0.423882782,0.784906924,-0.164171219,0.0547888651,0
91918,91.918415,0.414212435,0.786120296,-0.162957847,0.0547888651,0
91919,91.919414,0.785714269,0.787447333,-0.161630809,0.0547888651,0
91920,91.920415,0.506886423,0.788526058,-0.160552084,0.0547888651,0
91921,91.921413,0.590695977,0.789512515,-0.159565628,0.0547888651,0
91922,91.922415,1.39494503,0.790661812,-0.158416331,0.0547888651,0
91923,91.923413,1.39494503,0.791633308,-0.157444835,0.0547888651,0
91924,91.924431,0.903369963,0.792469621,-0.156608522,0.0547888651,0
91925,91.925413,0.795384586,0.793347657,-0.155730486,0.0547888651,0
91926,91.926418,0.959780216,0.794110119,-0.154968023,0.0547888651,0
91927,91.927416,0.706739902,0.794582725,-0.154495418,0.0547888651,0
91928,91.928417,0.427106231,0.794950008,-0.154128134,0.0547888651,0
91929,91.929415,0.407765567,0.794989765,-0.154088378,0.0547888651,0
91930,91.930418,0.407765567,0.794915318,-0.152326941,0.0547888651,0
91931,91.931415,1.08630037,0.794828117,-0.152414143,0.0547888651,0
91932,91.932417,1.35384607,0.794233143,-0.153009117,0.0547888651,0
91933,91.933415,1.09677649,0.793550014,-0.153692245,0.0547888651,0
91934,91.934416,0.710769236,0.792939305,-0.154302955,0.0547888651,0
91935,91.935432,0.541538477,0.792357147,-0.154885113,0.0547888651,0
91936,91.936417,0.772014618,0.791517556,-0.155724704,0.0547888651,0
91937,91.937419,0.633406579,0.79052031,-0.15672195,0.0547888651,0
91938,91.938417,0.633406579,0.789543688,-0.157698572,0.0547888651,0
91939,91.939419,0.539926708,0.788511634,-0.158730626,0.0547888651,0
91940,91.940416,0.41501832,0.787766635,-0.159475625,0.0547888651,0
91941,91.941499,0.96380949,0.78682363,-0.16041863,0.0547888651,0
91942,91.942413,1.10644686,0.786138296,-0.161103964,0.0547888651,0
91943,91.943419,0.477875441,0.78578198,-0.16146028,0.0547888651,0
91944,91.944413,0.413406581,0.785395741,-0.161846519,0.0547888651,0
91945,91.945460,0.967032969,0.784778178,-0.162464082,0.0547888651,0
91946,91.946415,0.967032969,0.784375906,-0.162866354,0.0547888651,0
91947,91.947414,0.890476167,0.783988178,-0.163254082,0.0547888651,0
91948,91.948416,0.623736262,0.783679485,-0.163562775,0.0547888651,0
91949,91.949415,0.414212435,0.78348428,-0.16375798,0.0547888651,0
91950,91.950417,0.408571422,0.783307612,-0.163934648,0.0547888651,0
91951,91.951416,1.08710623,0.782903254,-0.164339006,0.0547888651,0
91952,91.952418,0.408571422,0.782719433,-0.164522827,0.0547888651,0
91953,91.953417,0.408571422,0.782891691,-0.164350569,0.0547888651,0
91954,91.954420,1.22813189,0.782934785,-0.164307475,0.0547888651,0
91955,91.955418,1.16043949,0.782917321,-0.164324939,0.0547888651,0
91956,91.956415,0.410183132,0.782911539,-0.164330721,0.0547888651,0
91957,91.957428,0.414212435,0.783269644,-0.163972616,0.0547888651,0
91958,91.958418,1.12659335,0.78365761,-0.16358465,0.0547888651,0
91959,91.959416,0.59956044,0.783881009,-0.163361251,0.0547888651,0
91960,91.960414,0.59956044,0.783923984,-0.163318276,0.0547888651,0
91961,91.961416,0.406959713,0.784157634,-0.163084626,0.0547888651,0
